    -4.56     1.00    35.00   -64.61     9.00     3.00  1093.76     1.00      .08     2.78      .00     1.00
    -4.60     1.00    35.00    42.96    42.75     4.00  1297.96     1.00      .11    13.21      .00     1.00
    -4.45     1.00    35.00   -49.32    27.41     9.00  1176.67     1.00      .10     8.47      .00     1.00
    -4.48     1.00    35.00   -62.14    44.47    10.00  1144.69     1.00      .09    13.74      .00     1.00
    -5.41     1.00    35.00    61.92    28.09    11.00  1395.52     1.00      .08     8.68      .00     1.00
    -4.35     1.00    35.00   -65.29    13.01    15.00  1154.09     1.00      .08     4.02      .00     1.00
    -7.68     1.00    35.00    54.50   -47.73    18.00  1485.42     1.00      .09   -14.75      .00     1.00
    -6.81     1.00    35.00   -48.50    18.38    20.00  1306.57     1.00      .10     5.68      .00     1.00
    -4.44     1.00    35.00   -67.85   -14.20    22.00  1207.40     1.00      .08    -4.39      .00     1.00
    -4.71     1.00    35.00   -63.38   -23.39    25.00  1085.24     1.00      .08    -7.23      .00     1.00
    -4.47     1.00    35.00   -49.43    36.83    26.00  1176.66     1.00      .10    11.38      .00     1.00
    -4.98     1.00    35.00   -63.72   -12.91    27.00  1061.95     1.00      .08    -3.99      .00     1.00
    -4.69     1.00    35.00   -47.43    61.00    30.00  1131.70     1.00      .11    18.85      .00     1.00
    -4.72     1.00    35.00   -71.92   -14.72    36.00  1079.87     1.00      .08    -4.55      .00     1.00
    -4.87     1.00    35.00    53.14    26.73    37.00  1193.09     1.00      .09     8.26      .00     1.00
    -4.68     1.00    35.00    45.30   -45.66    38.00  1316.03     1.00      .11   -14.11      .00     1.00
    -5.48     1.00    35.00   -57.54    44.79    42.00  1042.73     1.00      .09    13.84      .00     1.00
    -4.51     1.00    35.00    53.98   -35.08    48.00  1306.52     1.00      .09   -10.84      .00     1.00
    -4.72     1.00    35.00   -56.88   -50.06    50.00  1242.24     1.00      .09   -15.47      .00     1.00
    -4.56     1.00    35.00   -48.76   -55.21    52.00  1159.71     1.00      .10   -17.06      .00     1.00
    -4.40     1.00    35.00    54.68   -22.36    53.00  1293.97     1.00      .09    -6.91      .00     1.00
    -4.45     1.00    35.00    47.39     -.19    54.00  1328.22     1.00      .10     -.06      .00     1.00
    -4.81     1.00    35.00    51.39    11.00    61.00  1198.93     1.00      .09     3.40      .00     1.00
    -4.42     1.00    35.00   -53.07    -4.17    64.00  1209.57     1.00      .09    -1.29      .00     1.00
    -4.80     1.00    35.00    49.72   -33.49    68.00  1192.63     1.00      .10   -10.35      .00     1.00
    -4.58     1.00    35.00   -47.74   -53.43    69.00  1151.63     1.00      .10   -16.51      .00     1.00
    -5.74     1.00    35.00   -66.76    24.73    78.00  1269.09     1.00      .08     7.64      .00     1.00
    -4.34     1.00    35.00    49.20   -38.15    81.00  1217.18     1.00      .10   -11.79      .00     1.00
    -4.37     1.00    35.00   -62.67   -19.19    83.00  1150.76     1.00      .08    -5.93      .00     1.00
    -4.37     1.00    35.00   -54.48   -25.17    95.00  1208.31     1.00      .09    -7.78      .00     1.00
    -4.47     1.00    35.00   -52.43   -45.40    96.00  1230.43     1.00      .10   -14.03      .00     1.00
    -5.07     1.00    35.00    54.43   -28.99    98.00  1185.64     1.00      .09    -8.96      .00     1.00
    -4.36     1.00    35.00   -75.01    -7.21   100.00  1162.75     1.00      .08    -2.23      .00     1.00
    -5.07     1.00    35.00   -67.12    16.18   102.00  1056.99     1.00      .08     5.00      .00     1.00
    -4.61     1.00    35.00   -58.51     -.26   108.00  1088.03     1.00      .09     -.08      .00     1.00
    -4.36     1.00    35.00    46.44   -23.36   109.00  1235.34     1.00      .10    -7.22      .00     1.00
    -4.81     2.00    33.00    88.69    11.78     2.00  1282.46     1.00      .08     3.64      .00     1.00
    -4.84     2.00    33.00   -54.49   -94.56     6.00  1091.46     1.00      .11   -29.22      .00     1.00
    -4.65     2.00    33.00   -41.99   -67.76     8.00  1127.90     1.00      .11   -20.94      .00     1.00
    -4.54     2.00    33.00    93.29   -82.94    12.00  1306.32     1.00      .09   -25.63      .00     1.00
    -4.80     2.00    33.00    53.75   -71.29    13.00  1356.41     1.00      .10   -22.03      .00     1.00
    -5.31     2.00    33.00   -46.87    81.39    19.00  1274.54     1.00      .11    25.15      .00     1.00
    -5.09     2.00    33.00    94.44   -73.75    21.00  1209.00     1.00      .09   -22.79      .00     1.00
    -4.73     2.00    33.00   -69.08    62.20    23.00  1192.89     1.00      .09    19.22      .00     1.00
    -5.02     2.00    33.00    87.62     6.22    24.00  1264.51     1.00      .08     1.92      .00     1.00
    -4.91     2.00    33.00   -45.43   110.29    29.00  1102.29     1.00      .12    34.08      .00     1.00
    -4.61     2.00    33.00   -55.45   109.87    31.00  1151.22     1.00      .11    33.95      .00     1.00
    -4.67     2.00    33.00   -74.66    41.65    32.00  1045.13     1.00      .08    12.87      .00     1.00
    -4.77     2.00    33.00    42.34   -82.71    35.00  1194.72     1.00      .12   -25.56      .00     1.00
    -5.19     2.00    33.00   105.06   -47.24    39.00  1439.35     1.00      .09   -14.60      .00     1.00
    -5.30     2.00    33.00    64.13   -72.65    45.00  1180.18     1.00      .09   -22.45      .00     1.00
    -4.57     2.00    33.00   -63.85   -65.66    46.00  1109.73     1.00      .09   -20.29      .00     1.00
    -4.51     2.00    33.00    36.89   100.32    55.00  1252.57     1.00      .12    31.00      .00     1.00
    -4.63     2.00    33.00    54.35   114.43    56.00  1288.31     1.00      .12    35.36      .00     1.00
    -6.55     2.00    33.00    31.79  -109.73    57.00  1444.97     1.00      .13   -33.91      .00     1.00
    -4.48     2.00    33.00   -39.41   106.40    65.00  1203.79     1.00      .12    32.88      .00     1.00
    -4.61     2.00    33.00   -61.00    90.16    70.00  1133.31     1.00      .10    27.86      .00     1.00
    -4.56     2.00    33.00    66.45   107.15    71.00  1269.85     1.00      .11    33.11      .00     1.00
    -4.87     2.00    33.00   -37.86   -96.59    74.00  1110.39     1.00      .12   -29.85      .00     1.00
    -4.72     2.00    33.00   -75.22   -80.19    75.00  1075.84     1.00      .09   -24.78      .00     1.00
    -6.39     2.00    33.00    94.14   -56.18    76.00  1494.15     1.00      .08   -17.36      .00     1.00
    -4.54     2.00    33.00    41.14   -71.71    77.00  1239.47     1.00      .12   -22.16      .00     1.00
    -4.75     2.00    33.00    64.47   -57.31    79.00  1241.09     1.00      .09   -17.71      .00     1.00
    -4.99     2.00    33.00   -38.98   -93.84    84.00  1265.63     1.00      .12   -29.00      .00     1.00
